card_id,card_name,system,definition,,,,,,,,,
11,Regret,Bitterness,"There's something so seductive about regret. The way it paints an aura of possibility around what has been broken - even seeming to mend it momentarily with 'what ifs'. Though regret is rarely a comfortable state of mind, it also contains a flicker of pleasure and a strange, if temporary, sort of RELIEF. The hardest regrets usually arrive when our own behaviour jars with aspects of our identities we hold most dear. Those parts of ourselves which we cling on to most forcefully are usually the ones created in defence of some much earlier failure or criticism. If you've made the effort to prove it wrong, seeing your own decisions or actions stack up in its favour can be painful. More often than not, what at the time seems an inconsolable loss is not the end of the story. Perhaps we'll adjust ourselves to our regrets. Perhaps we'll learn from them. But unlike resignation or acceptance, regret is ultimately a kind of desire for something different to have happened. It makes the mind waver, it gnaws. And by allowing us to imagine the possibility of things ending differently, it contains, rather peculiarly, a little germ of hope.",,,,,,,,,
12,Litost,Loathing,"Litost (pronounced lee-tost) is a Czech emotion describing the SHAME, RESENTMENT and fury felt when another has made us feel wretched. As Czech author Milan Kundera puts it in his Book of Laughter and Forgetting (1979), litost is 'a state of torment caused by the sudden sight of one's own misery ... First comes a feeling of torment, then the desire for revenge? Litost's VENGEFULNESS is often self-destructive. A cutting retort might be enough to restore our PRIDE, but when we're hurt by those wielding power over us, revenge must take circuitous routes. In Kundera's novel, a child is belittled by his violin teacher for playing the wrong note. The child deliberately repeats the mistake until the teacher snaps and throws the pupil out of the window. 'As he falls, writes Kundera, 'the child is delighted by the thought that the nasty teacher will be charged with murder.' The goal of litost is to make the other person 'look as miserable as oneself', your attention so focused on punishing your tormentor that your own destruction becomes far less important.",,,,,,,,,
13,Guilt,Loathing,"Guilt is a ghoulish sort of queasy sensation which keeps reappearing. We can speak of feeling guilty, yet in the same breath imply we've done nothing wrong. Some people take too little responsibility, others too much. The phrase 'having a guilt complex' became a voguish diagnosis in the early twentieth century. As psychotherapist Alfred Adler put it in 1927, the guilt complex is a 'combination of self-accusation and repentance', which strives for superiority on the useless side of life'. Even guilt itself, with its whirring obsession with self-punishment and blame, was a kind of avoidance: we feel guilty instead of doing what we know we ought. This Adlerian vision of guilt has been very influential in the modern self-help movement, in which guilt is seen to be the enemy of productivity and personal fulfilment. Most of us find ourselves stuck in interminable conversations with ourselves. Was it our fault? Or theirs? Should we take more responsibility? Or less? The truth usually lies somewhere between. It's less a question of making guilt vanish than adjusting to its background hum.",,,,,,,,,
14,Resentment,Loathing,"The vision of resentment as a petty emotion found its clearest expression in the work of the German philosopher Friedrich Nietzsche. He argued that the origins of European civilisation lay in a golden age, which celebrated noble rage and swift VENGEFULNESS. At some point during the Roman Empire, Nietzsche thought that this 'master morality' was replaced by the 'slave morality'. He argued that the slaves of the Roman Empire suffered under the contemptuous treatment of their masters, but were unable to express their indignation for FEAR of reprisal. According to Nietzsche, it was this attitude which characterised resentiment, and which Jewish, and later, Christian, religious teachings perpetuated with their vision of patient suffering on earth. Some cultures recognise this long-held resentment and the strange effects it can produce as a distinctive part of their emotional life (see: LITOST). And those long and patient years of suffering and fantasising about revenge etch scars into our emotional landscapes. This is why Nietzsche, though he disliked ressentiment intensely, believed it was only by developing it that 'the human soul became deep'.",,,,,,,,,
15,Schadenfreude,Loathing,"The unexpected thrill we feel at another's misfortune is a deliciously clandestine human pleasure. Schadenfreude - from the German Schaden (harm) and Freude (pleasure) - is an illicit enjoyment of another's bad luck, as opposed to the more forthright scorn or gloating. The Roman poet and philosopher Lucretius believed our DELIGHT in another's struggle was not a sign of moral bankruptcy. We enjoy standing safely on the shore watching a boat tossed about on a stormy sea, he wrote, because 'it is sweet to perceive from what misfortunes you yourself are free.. In truth, we devour other people's misery for a ragbag of reasons: rivalry, ENVY, RESENTMENT, distraction ... Seeing our competitors fall flat on their faces is gratifying because we think that our own stock goes up when theirs goes down. Part of us wants to see them punished, so our own status can be restored. Few of us care to admit it, but we get a kick out of hearing about other people's bad decisions, errant spouses and ungrateful children. It reminds us that it's not only our own hopes that get dashed. Everybody else's do too.",,,,,,,,,
16,Shame,Loathing,"While guilt is an emotion associated with hearing the wheedling voice of conscience, shame is usually associated with wanting to hide. But you don't need to get caught taking a fiver from your flatmate's purse or in flagrante with your married next-door neighbour to want to shut yourself away forever... We may feel embarrassed about things we've done, but shame is about who we are. Since the Stonewall Riots of 1969, women and men have marched under the banner of gay pride. Its premise is clear: in the face of intolerance, it's only by being seen that we can feel whole. More recent theorists of sexuality have questioned this emphasis on PRIDE, wondering if it might bleach out other parts of homosexual life, which might seem rather more embarrassing, even undignified. They have initiated a gay shame' movement. One of its legacies may be a willingness to talk about shame - and the moments of awkwardness and transgression that cause it - as a valuable emotion, rather than the damaging, toxic one we've come to think of it as. It might be that to forge identity in the face of disapproval, the existence of shame must be recognised - even celebrated.",,,,,,,,,
17,Disappointment,Loathing,"Disappointment - meaning to be 'deprived of an appointment', to be 'dispossessed' - has a long history of making trouble. But in the early twentieth century psychologists began to argue that it could be crucial for healthy mental development. Sigmund Freud spoke of 'narcissistic wounds', the painful assaults on our sense of identity when fantasies are punctured. He coined the phrase 'the family romance' to describe those stories told to us as we grow up that give a dramatic importance to our arrival in the world. According to Freud it was vital that we ultimately let such fantasies go in order to engage with reality. As the psychoanalyst Melanie Klein put it, to move forward and develop authentic relationships, everyone must come to the aching realisation that 'no really ideal part of the self exists' The psychoanalytic story of disappointment is ultimately optimistic. But when we suffer the painful loss of an idealised self-image, what's left isn't necessarily 'the truth but emptiness and confusion. As Wordsworth put it in The Prelude, 'a sense of treachery and desertion in the place / The holiest that I knew of - my own soul.",,,,,,,,,
18,Terror,Angst,"The nineteenth-century Italian physician Angelo Mosso observed among soldiers that 'in terror, even the most intrepid men do not think of flight; it seems as though the nerves of defence were severed and they were left to their fate'. For some this frozen sensation could be poetic and thrilling. The Swiss painter Henry Fuseli thought terror was an ennobling, even purifying emotion (see: FEAR). According to the philosopher Edmund Burke, vast mountainous landscapes could assail walkers, provoking the violence of 'terror and wonder' in their hearts. Even if this rich poetic inheritance is no longer part of contemporary political rhetoric about acts of, and wars, on terror, the sense of paralysis is still with us. Learn that a terror, rather than a fear, threatens you, and you might feel cowed and overwhelmed. In the face of shadowy, elusive forces self-defence seems futile. It's then that, like Mosso's terrified soldiers, we become voiceless and rooted to the spot. And might find ourselves incapable of arguing, when someone else seeks retribution on our behalf.",,,,,,,,,
19,Dread,Angst,"One of the most terrifying things about the Great Pestilence that swept Europe in 1348-9 must have been sensing it approach. Pilgrims and travellers spread news of desolate streets and wretched survivors. Cities locked their gates and their inhabitants performed desperate acts of penitence. Many believed they were witnessing the world's end. Unlike FEAR OF PANIC, which is usually triggered by an immediate threat, dread is the cold unease felt in the approaching shadow of a menace about which we can do little. In its earliest uses, it described a feeling of being rendered speechless and prostrate in the presence of God's awesome power. For this reason, Rastafarians dubbed themselves Dreads, and their matted hair, dreadlocks. In the age of the internet, mild dread may be a low-level hum for us all. It's harder than ever to remain ignorant each time a new pandemic appears. And since dread can feed off rumour and misinformation, the internet provides the ideal petri dish. Some might panic and start stockpiling drugs, while governments conduct health-checks at our borders. But for most there is little option but to sink backwards into a cold helplessness - and hope it doesn't come too near.",,,,,,,,,
20,Anxiety,Angst,"The stomach lurches and the throat tightens. The eyes twitch and the mind zig-zags across endless possibilities. Unlike FEAR Or WORRY, which usually have a defined cause, anxiety buzzes hungrily around life's problems, alighting on ordinary troubles and turning them into visions of disaster. Pills and potions, exercises and meditations are offered to calm the anxious mind and make it 'free'. In the post-war 1940s, the poet W. H. Auden was moved to speak of an 'Age of Anxiety', while the governments of Britain and the United States employed psychologists to measure and improve the population's serenity' and 'security'. By the time Miltown, the first of the blockbuster tranquillisers, hit the market in 1955, anxiety had become a multimillion-dollar industry. Today, anxiety is once more on the rise, and the most commonly diagnosed disorder in the United States. But, for the Danish philosopher Søren Kierkegaard, angst was the appropriate response to realising life is not predetermined. Only the 'most spiritless have lived without anxiety', he proclaimed. So he would probably be alarmed to see how we treat anxiety today, as something to be freed from, rather than evidence of the terror of freedom itself.",,,,,,,,,
21,Fear,Angst,"Fear is one of the most primal of human emotions. The body's involuntary fight or flight response to threat might be one of our greatest allies - such reactions evolved to preserve the life of our species - yet we depict it as a furtive enemy, derailing rational thought, inflaming latent anxieties. Terrified stampedes and desperate crushes can still kill us, and panic attacks can make us feel as if we might be dying (see: PANIC). In the West we live in 'fear-averse' societies. Our public spaces may be festooned with security cameras and warnings to be vigilant, but these repeated exhortations to reduce risk may increase our nervousness. Continually reminded of our vulnerabilities, we may become more susceptible to political rhetoric which offers us protection in the face of global menace (see: TERROR). The situation is exacerbated by what sociologist Frank Furedi calls 'fear entrepreneurs' who stoke up threats with screaming headlines and pernicious adverts (Are you losing your hair?Are you UNFULFILLED by your JOB?'). We used to fear thunder and wild beasts: now seeing an advert in a newspaper or getting on a train seems to bring some new danger into focus.""",,,,,,,,,
22,Depaysement,Angst,"In February 1981 the French artist Sophie Calle was hired as a hotel chambermaid in Venice. Each day, under cover of cleaning the guests' rooms, she itemised and photographed the contents of their suitcases and bins. A postcard of the Basilica di San Marco. An Italian phrasebook with the page corner turned down. A torn-up love letter describing a trip to Harry's Bar. The resulting artwork, Hôtel, evokes the disorientation felt in foreign places. It tells of deciphering a strange language. Of stumbling again and again over the same landmark in unfamiliar streets, and the feelings of licence and anonymity which allow holiday romances to take flight. In France, the feeling of being an outsider is known as dépaysement (literally: decountrification). Sometimes it is frustrating, leaving us feeling unsettled and out of place. And then, just sometimes, it swirls us up into a kind of giddiness, only ever felt when far away from home. When the unlikeliest of adventures seem possible. And the world becomes new again. The French seem to be particularly intrigued by emotions to do with disorientation, see: ILINX and L'APPEL DU VIDE.",,,,,,,,,
23,Worry,Angst,"In the 1870s Samuel Smiles, self-help guru, emphasised the dangers of worrying. 'Cheerfulness, he wrote, 'enables nature to recruit its strength; whereas worry and discontent debilitate it.'In a world where being productive and improving oneself were important, succumbing to worry was emerging as rather irresponsible (see also: BOREDOM). It was against this backdrop that some of the apprehensiveness associated with worrying was carved off into a new medical condition: ANXIETY. More recent psychological research has cautioned against always assuming worry is a problem. Catastrophising may be counter-productive, but sometimes worrying can be an imaginative process. Examining our problems allows new ideas to come into focus and existing ones to rearrange themselves. Some researchers have even suggested that there may be a 'worry gene', since while stress and anxiety may shorten lives, those who experience the lower-level, more optimal emotion of worry seem to live longer and reproduce more. So perhaps we should welcome at least some of our worries.",,,,,,,,,
24,L'Appel du Vide,Angst,"Walking along a high cliff path, you are gripped by a terrifying urge to leap. As an express train hurtles into view, you itch to fling yourself in front of it. People talk of a fear of heights, but in truth anxieties about precipices are often less to do with falling than the horrifying compulsion to jump ... In Alfred Hitchcock's Vertigo (1958), what paralyses James Stewart as he chases the suicidal Kim Novak up those rickety stairs is not dizziness. Hitchcock's clever camera trick which makes the bottom of the stairwell swim into the foreground, also makes its vanishing point alluring. Stewart is terrified he might just give in. The French have a name for this unnerving impulse: l'appel du vide; 'the call of the void'. Perhaps it is a kind of terrifying game the mind plays, a test serving to remind us how close danger is. But most of all, as Jean-Paul Sartre recognised, l'appel du vide creates an unnerving, shaky sensation of not being able to trust one's own instincts. And the fear that our emotions, with their impish irrational impulses, might be capable of leading us very far astray.",,,,,,,,,
25,Lonliness,Heartache,"There is a long tradition of suspicion towards those who choose to be alone. But in the eighteenth century, Romantic poets and painters deliberately sought loneliness out, believing that the physical condition of solitude could give rise to transformative spiritual experiences. In the mid-nineteenth century, however, 'loneliness' shifted from physical isolation to painful emotion. Characters in novels began to talk of their dejection. The modern metropolis, rather than the countryside, became the main source of loneliness. Today, politicians decry an 'epidemic of loneliness' in our cities, rising divorce rates, increased use of computers, the supposed solipsism of our culture and a lack of community identity are all blamed. But there is another kind of loneliness. In Japan, hikikomori (withdrawn) is a condition afflicting mainly adolescent, middle-class males in which sufferers, feeling alienated from their family's often traditional values, isolate themselves in their bedrooms and refuse to come out. One feeling of loneliness gives way to another. And reminds us that loneliness is not only a feeling which comes when we are lost in the great wilderness of the world, but also comes when we feel hemmed in by its expectations and desires.",,,,,,,,,
26,Sadness,Heartache,"During the Renaissance, a familiarity with gloom was thought of as a lesson in resilience. There was even a self-help book, The Castel of Helth written by Thomas Elyot in 1534, that suggested reasons to be more sad. Such a suggestion is unlikely to sell in our happiness-obsessed self-help industry today - but perhaps the idea that we might have to learn the art of sadness still has resonance. The authors Allan Horwitz and Jerome Wakefield discuss the widely acknowledged 'epidemic' of depression. Though depression is certainly a real and serious illness, they suggest that in some cases ordinary sadness is being mis-diagnosed as major depressive disorder. Others have also recognised the dangers of seeing sadness as a problem to be medicated away as this might leave us poorly equipped to manage in the future. For the psychotherapist Susie Orbach, it sends a message that pain can't be borne, lived through and tolerated, robbing us of an ability to recognise sorrow as an enriching part of life. Sadness is the process through which we adjust to a new version of ourselves after loss or DISAPPOINTMENT. It protects us and gives us strength. As known during the Renaissance, if we see sadness as an unfamiliar creature, we will be less resilient to it - and more vulnerable to its more serious manifestations.",,,,,,,,,
27,Melancholy,Heartache,"The idea that melancholy might be both arty and dangerous has its feet firmly in the Renaissance. During this time, each person was thought to have a unique balance of four elemental humours: blood, choler, phlegm and melancholy. Dramatic events which roused strong passions were thought to impact most on the melancholy humour, turning ordinary unhappiness into a more serious disease - melancholia. Noxious fumes were sent to the brain, fogging the mind and the victim would be left with an inexplicable feeling of sorrow and DREAD. The melancholic vapours were thought to produce visions, which Robert Burton described as 'terrible monstrous fictions' in his famous account of the illness. But the Italian scholar Marsilio Ficino, argued that these fumes brought creative insights, and so a cult of melancholic genius flourished. Even if melancholy was the mark of genius, it could bring tortures. Burton, instead, made writing about melancholy his life's work, and in the end saw his studies as both the cause of, and the cure for, the illness.",,,,,,,,,
28,Boredom,Heartache,"Boredom is the most contrary of emotions. It's a combination of feeling trapped, inert and disinterested: there is a vague sense of wanting something to change, but we really can't say what. The boredom we know today was invented by the Victorians. The expansion of factories and offices produced a new way of dividing up the day and 'leisure time' was quickly conceived as a space for self-improvement. Finding oneself at a loose end was a mark of inadequacy. Doctors debated boredom's unsavoury health implications. Politicians vilified it as a social ill. Feminist campaigners and novelists pointed out the emotion's corrosive effects on middle- and upper-class women. Today, we ought to be boredom-free, with the constant stimulation of ever-smarter technologies. Yet boredom is still with us - and maybe that's not so bad. Turn off your smart phone, and you may find yourself slipping into that listlessness which gives rise to pleasant reverie and daydreams. There is no coincidence that many creative people have spoken of their own childhoods as immensely tedious. Their boredom propelled them to invent and imagine. It might just be, as the anthropologist Ralph Linton has argued, that the human capacity for being bored, rather than social or natural needs, lies at the root of man's cultural advance'.",,,,,,,,,
29,Mono No Aware,Heartache,"At the waning of the Japanese Heian period (794-1185), Murasaki Shikibu crafted The Tale of Genji. Often described as the world's first novel, the book is infused with a quiet feeling for life's transience, the way all living and even inanimate things fade and disappear, which produces a sensation called mono no aware (pronounced moh-noh noh ah-wah-ray). Mono no aware is literally translated as the pathos of things. It describes the sorrow and serenity that come with recognising the inevitability of change; the anticipatory grief of losses to come; and the piquancy added to pleasures by the knowledge that they must end. Mono no aware is also linked to an aesthetic sensibility: wabi-sabi. The principle of wabi-sabi evokes a special beauty found only in unfinished or imperfect things: a crack in a porcelain vase, the wilted edges of a fallen maple leaf. The Tale of Genjis tenth chapter The Sacred Tree'"," captures the wistful feeling evoked by transient beauty. Genji picks his way across a gloriously decaying reed plain to visit his lover for the last time. ""The autumn flowers were gone and insects hummed in the wintry tangles. A wind whistling through the pines brought snatches of music",' and the following morning," Genji departs with 'his sleeves wet with dew and tears.""",,,,,,
30,Awumbuk,Heartache,"There is an emptiness after visitors depart. The walls echo. The space which felt so cramped while they were here now seems weirdly large. And though there is often RELIEF, we can also be left with a muffled feeling - as if a fog has descended and everything seems rather pointless. The indigenous Baining people who live in the mountains of Papua New Guinea are so familiar with this experience that they name it awumbuk. They believe that departing visitors shed a kind of heaviness when they leave, so as to travel lightly. This oppressive mist hovers for three days, creating a feeling of distraction and inertia and interfering with the family's ability to tend to their home and crops. So once their guests have left, the Baining fill a bowl with water and leave it overnight to absorb the festering air. The next day, the family rises very early and ceremonially flings the water into the trees, whereupon ordinary life resumes.",,,,,,,,,
31,Nostalgia,Heartache,"In 1688 Johannes Hofer wrote about a mysterious disease which had broken out among Swiss soldiers fighting abroad. It began with being distracted by thoughts of home, before progressing to lethargy and SADNESS. Strange physical symptoms followed. Some soldiers died of the illness, wasting away from a refusal to eat. Hofer invented a new word to describe the disease, nostalgia - from the Greek nostos (a homecoming or return) and algos (pain). By the nineteenth century, nostalgia had become one of the most studied medical conditions in Europe, and the last person to be diagnosed and die from the disease was an American soldier fighting in France in 1918. Psychological studies have recently emphasised the benefits of indulging in nostalgic reflection, suggesting it increases our sense of existential meaning and social connectedness. Researchers in China have even noticed that nostalgic feelings are more common in colder weather, arguing that reminiscing may serve an evolutionary purpose by raising our body temperature. From deadly disease to health-giving pastime in less than a century: nostalgia ain't what it used to be.",,,,,,,,,
32,Saudade,Heartache,"It is thought that the Portuguese first learnt to speak of saudade (pronounced sow-dad, or sow-datch-eh in Brazil) in the thirteenth century. Ships set sail from the port of Lisbon and those left behind lived out their days scanning the horizon, longing for the return of their loved ones. Female troubadours sang of their soidade (the older spelling), their wistful lyrics expressing an ache for distant lovers, and the HAPPINESS of the past. Saudade is a melancholic yearning for someone, or something, which is far away or lost. It's always there, pulsing below the surface with its HOPEFULNESS tinged with GRIEF. There is a vague yearning, yet it is interlaid with resignation and the pleasure of remembering past joys. Some emotions are so intimately tied to a particular artistic form that it's impossible to think of them without it. MELANCHOLY and the blues. National pride and anthems. In the early nineteenth century, saudade found its modern form in fado music. Meaning fate' or 'destiny', fado was born on the cobbled alleys of Lisbon's Alfama district. Its sobbing guitars and yearning voices evoke the experience of poverty, loss and the unfaithfulness of lovers. Fado is supposed to cleanse the singer of saudades bittersweet melancholy too. So to sing fado is to matar saudades. Literally: to kill saudade.",,,,,,,,,
33,Rage,Heat,"The last twenty years have witnessed a proliferation of types of rage. There are violent clashes on the roads (road rage), swearing frenzies in supermarkets (trolley rage), in offices (mouse rage) and even while opening groceries (wrap rage). Perhaps the stresses and frustrations of modern life are giving rise to increased levels of ferocity: the more sources of rage, the more sorts we can distinguish. But at least part of what drives this desire to label our furies is that this emotion has become increasingly unacceptable. American psychologists have even created a new umbrella diagnosis: intermittent explosive disorder. The cure? Dull ANGER with anti-depressants. But what would a society without rage look like? The political theorist Hannah Arendt argued that 'only where there is reason to suspect that conditions could be changed and are not does rage arise. Only when our sense of justice is offended do we react with rage.' To attempt to 'cure' a person of it would deprive the sufferer of a capacity for defiance, and society of an opportunity for change. Rages are an important part of being human and involved in the world. If we can't have the occasional flare-up of mouse, or trolley, or wrap rage, then we can't have revolutions and riots either.",,,,,,,,,
34,Panic,Heat,"The word 'panic' originates from Greek mythology. It described a sudden, inexplicable TERROR felt by travellers in wild, uninhabited places, after stumbling across the deity Pan. Those who followed Pan's cult celebrated him with ecstatic parties and panic became linked with the sensation of being taken over by the force of a dangerous, collective irrationality (see also: ECSTASY). At the end of the nineteenth century, panic was a much-studied phenomenon among 'crowd psychologists' Gabriel Tarde and Gustave Le Bon believed that when an individual became part of a crowd, they regressed to an earlier primitive state where the boundaries between individuals were less stable. Today, we remain more vulnerable than ever to the panic of the mob. Conspiracy theories and rumours can break loose over Twitter. Security guards still use code words for 'fire' and 'unattended bag' when they speak over public tannoys. But perhaps more dangerous still may be the panic which could spread between smartphones and laptops, bouncing from satellite to satellite and leaving a tangle of chaos and confusion behind it.",,,,,,,,,
